"site","scale","spp","nbLL","pLL","nbZ","nbPar.k","nbPar.mu","kl","perm.nbLL","perm.pLL","perm.nbZ","perm.nbPar.k","perm.nbPar.mu","perm.kl"
"PASO",122.0703125,"TARE11",-312.507476710684,-314.14330794558,0.057888161845432,3.88970280452072,0.014404296875,-2.56877838013967e-05,-309.177743709571,-309.173494646004,0.01270879332501,100,0.0144042969182507,-1.00751466154899e-06
"PASO",122.0703125,"TARECO",NA,-45.1560401849477,NA,NA,NA,0,NA,-45.1560401849477,NA,NA,NA,0
"PASO",122.0703125,"TAREMA",-356.180331249063,-356.235259088019,0.0358490804711975,24.8095897524667,0.01708984375,-5.67831578928135e-06,-355.537466487997,-355.542111907459,0.0277373426800704,85.2617489589526,0.01708984375,-1.65417089461479e-06
"PASO",122.0703125,"TAREMO",-463.992100408537,-464.640701448416,0.136847815638076,8.26979930046635,0.023681640625,-3.21143771057292e-05,-460.771034795806,-460.769500437508,0.0665872009672511,100,0.0236816407048601,-2.6721456066958e-06
"PASO",122.0703125,"TARES8",-3126.74121732434,-3430.61778464922,761.94859581929,0.916771870918186,0.344970703125,-0.0110572962936862,-3086.40830168256,-3086.645988144,541.535042187189,48.8784845413077,0.344970703125,-0.000554828093015236
"PASO",122.0703125,"TEIJCO",-868.430431429594,-940.04908086765,2.50750197991882,0.8406338250878,0.05419921875,-0.00134773482068096,-876.274134342682,-876.486647149756,1.0816763916591,22.1459196102314,0.05419921875,-5.90789480382842e-05
"PASO",122.0703125,"TEIJSI",-81.6367893967325,-85.865515214084,1.01311537190879e-05,0.858910718031182,0.0029296875,-4.92791291196842e-06,-81.9944899827095,-81.9943142031761,0.000105424752795044,100,0.00292968750035906,-4.26615229959174e-08
"PASO",122.0703125,"TERMBE",NA,-38.5416412714262,NA,NA,NA,0,NA,-38.5416412714262,NA,NA,NA,0
"PASO",122.0703125,"TERMCI",-162.592980992331,-162.592091119305,0.00120617276609396,100,0.00659179687533411,-2.14375807096854e-07,-162.592980992331,-162.592091119305,0.00120617276609396,100,0.00659179687533411,-2.14375807096854e-07
"PASO",122.0703125,"TERMPH",NA,-24.6574616341537,NA,NA,NA,0,NA,-24.6574616341537,NA,NA,NA,0
"PASO",122.0703125,"TERMSU",NA,-45.1560401849477,NA,NA,NA,0,NA,-45.1560401849477,NA,NA,NA,0
"PASO",122.0703125,"TERNCO",-222.346840787685,-222.998882952786,0.0179252631658197,5.10467940932046,0.009521484375,-8.67421034768113e-06,-220.515832933526,-220.513976302998,0.00364821450887775,100,0.00952148437500026,-4.44623795137322e-07
"PASO",122.0703125,"TETRPO",-1007.49869908024,-1008.35492493448,2.1301062255359,11.7796655821069,0.065185546875,-0.000155926305022742,-1004.00012271688,-1004.07825881547,1.75329947148,40.0764240158345,0.065185546875,-4.62531948003588e-05
"PASO",122.0703125,"THOTGR",NA,-9.31776616671934,NA,NA,NA,0,NA,-9.31776616671934,NA,NA,NA,0
"PASO",122.0703125,"TIMOS1",-500.509716392055,-500.879495562454,0.152210335607464,11.588600899233,0.026123046875,-2.77880167569358e-05,-497.705466014519,-497.701441732106,0.0876264030299802,100,0.0261230468750008,-3.23527650343069e-06
"PASO",122.0703125,"TIMOWA",-970.02536894897,-975.790973370485,2.66224713574874,4.27637983973639,0.061279296875,-0.000374866722442766,-958.760682466554,-958.802091930077,1.41947085130317,53.6173708920187,0.061279296875,-3.08354887265255e-05
"PASO",122.0703125,"TRI1HY",-1247.27483143022,-1268.47129258948,8.77130226419818,2.4466351637608,0.0859375,-0.00116602395726552,-1224.20508576294,-1224.1732830414,3.68516902279758,100.000000000007,0.0859375037865019,-3.0911161415878e-05
"PASO",122.0703125,"TRI2MA",-303.890650552641,-305.223097427901,0.0524724156737885,4.31036711478801,0.013916015625,-2.16811699898681e-05,-301.957496890862,-302.045043597553,0.0231091704087477,17.6936779866586,0.013916015625,-5.3119531593988e-06
"PASO",122.0703125,"TRI3L2",-487.18579328025,-681.573160147463,0.580599531009288,0.22868023424946,0.031494140625,-0.00148410714568247,-575.096346932635,-575.07603534414,0.135824663349778,100,0.0314941408506638,-4.65087604480256e-06
"PASO",122.0703125,"TRI3LO",-64.581084133934,-64.7780214850081,0.00122651481642011,4.53879310344828,0.002197265625,-5.28925572920908e-07,-64.0849731806771,-64.0848743044481,4.44375411952214e-05,100,0.00219726562513596,-2.40327402578002e-08
"PASO",122.0703125,"TRI3MA",-2456.48124032588,-3377.40461042725,315.444617760615,0.348553282073942,0.279541015625,-0.004523191882997,-2723.9387175764,-2724.58773642856,243.452486180565,27.1228134110787,0.279541015625,-0.000765174567448477
"PASO",122.0703125,"TRI4AC",-88.6470432829245,-89.1729128814714,0.00316688292871498,3.28044121271876,0.003173828125,-1.52217695822299e-06,-87.7868248169971,-87.7866185203515,0.000134077245230474,100,0.0031738281250121,-5.0043272274278e-08
"PASO",122.0703125,"TRI4S1",-153.938295836268,-154.551700087958,0.00901556151453789,4.26989489489489,0.006103515625,-4.29491522227608e-06,-152.47302147021,-152.472258546279,0.000956928298555924,100,0.00610351562501562,-1.83974944303197e-07
"PASO",122.0703125,"TRIOMA",-1548.74178614129,-1549.72749055394,13.3682145391611,14.8325242718447,0.118408203125,-0.000363225330505165,-1537.85452347381,-1537.82620544876,10.7907012016511,100,0.118408203128191,-5.47471862293926e-05
"PASO",122.0703125,"TRIVMA",-280.341754614595,-280.445461664292,0.0192504560409923,15.5068453247888,0.0126953125,-5.05639213234762e-06,-279.73521704675,-279.752314483732,0.0134826473305528,38.4368231046931,0.0126953125,-2.04226458287882e-06
"PASO",122.0703125,"TRIVNE",-168.739508584593,-168.982020744356,0.00712656514810954,7.33683132838495,0.0068359375,-3.13447884380492e-06,-167.596683392679,-167.595726383236,0.00134561871828945,100,0.00683593750155181,-2.30435333371145e-07
"PASO",122.0703125,"TRIVPU",-94.0676328573236,-94.1950709000171,0.00169440764349338,7.15730337078652,0.00341796875,-8.09657603187234e-07,-93.5021629745438,-93.5019237194572,0.000167508005203874,100,0.0034179687500517,-5.80096418426908e-08
"PASO",122.0703125,"TURPOV",NA,-17.2492379723188,NA,NA,NA,0,NA,-17.2492379723188,NA,NA,NA,0
"PASO",122.0703125,"UROPGL",-3501.15242238556,-3534.97796705632,1333.48233658832,3.98733948158454,0.413818359375,-0.00633486119200827,-3426.47880299587,-3426.59783008111,1163.95592210172,73.7042601992056,0.413818359375,-0.000443684966851782
"PASO",122.0703125,"UROPHI",-1870.56253490046,-3572.13822723017,279.920889872082,0.104690681318286,0.2470703125,0.0351559691514106,-2517.29850828995,-2517.43957028981,148.460479029557,55.5544533218938,0.2470703125,-0.000319636260892287
"PASO",122.0703125,"VATIBE",-3305.97525193583,-3377.37470080518,932.870288465067,2.471475740113,0.371826171875,-0.00822160005851771,-3227.12972000197,-3227.50528205074,743.301429775779,39.9843888240649,0.371826171875,-0.000731286184627774
"PASO",122.0703125,"VATIMA",-462.519872924362,-465.45682200708,0.210534339495903,3.72385571385268,0.0234375,-6.93327745313125e-05,-457.022571595048,-457.021272804705,0.0646997056339557,100,0.0234375000815344,-2.61864258377899e-06
"PASO",122.0703125,"VATIPA",-1617.97080270712,-1640.60369460945,24.7709663728323,2.89036288155744,0.123779296875,-0.00185526815545229,-1594.0926486434,-1594.50150307214,14.4126017614987,23.7216357030232,0.123779296875,-0.000246956890701642
"PASO",122.0703125,"VERNAR",-580.141741145191,-593.272785705899,0.561733231346135,1.82730923694779,0.03125,-0.000241088118339671,-573.678132813175,-573.693637100045,0.17619537452657,63.0000000000002,0.03125,-7.26884876708364e-06
"PASO",122.0703125,"VITEPI",NA,-24.6574616341537,NA,NA,NA,0,NA,-24.6574616341537,NA,NA,NA,0
"PASO",122.0703125,"VITEQU",-148.54531551159,-149.144855542142,0.00685282305058003,4.09090909090909,0.005859375,-4.13336959891761e-06,-147.353799184181,-147.353096072914,0.000846377203571918,100,0.00585937500042444,-1.69635336428534e-07
"PASO",122.0703125,"WALSCH",-970.173423281431,-971.428026178787,1.99577619783825,9.56846392552366,0.061767578125,-0.000173206015421911,-962.992168041285,-962.992476976411,1.34112944683906,582.042134831444,0.061767578125,-2.89010556996453e-06
"PASO",122.0703125,"WALSPI",-800.400574728915,-803.115680345305,1.14953855014199,5.6078556680759,0.047607421875,-0.000179902559870609,-793.525901117069,-793.581518854261,0.668437388986245,40.9206210925489,0.047607421875,-2.5080370929608e-05
"PASO",122.0703125,"XANTAF",-1943.79948827992,-1951.90962236576,46.8443002782481,5.79610465559765,0.1630859375,-0.00152582262966474,-1914.61119467562,-1914.5839066178,32.0077995371016,100,0.163085937508411,-9.41824537319591e-05
"PASO",122.0703125,"XANTAM",-1353.14996159973,-1355.05593618701,7.98688741899355,9.67506128684613,0.097412109375,-0.00039213605821656,-1341.76670896387,-1341.76835672071,5.7922717267682,324.316196903532,0.097412109375,-1.19702668270801e-05
